exercise,occurrences,has_reps,has_weight
Weighted Pull Ups,1,0,1
YTWS,1,0,1
YTWs,1,0,0
elevated,1,0,0
w/ DB w/ squat,1,0,1
standing SL calf raises,1,0,1
standing Hack,1,0,0
squat,1,0,1
slides,1,0,0
shoulder shrugs,1,0,1
shoulder Shrugs,1,0,2
shoulder Raise Trio,1,0,1
shoulder Raise,1,0,0
seated Hip Abductions,1,0,1
scapular push ups,1,0,0
pushups,1,0,0
pulldown,1,0,0
pistol,1,0,1
i 6h sit-to-stands,1,0,0
Triceps/ Reg. Pushups,1,0,1
Tricep Pushups,1,0,1
SL DB Calf Raises,1,0,0
Seated Call Raises,1,0,0
Shoulder Raises Trio,1,0,1
Shoulder Raises,1,0,0
Seated SA Front,1,0,0
Seated Pectoral Fles,1,0,1
Seated Leg Curls,1,0,1
Seated Itp Adductors,1,0,1
Seated Hip Adductions,1,0,1
Scapular pushups,1,0,0
Tricep Push ups,1,0,1
Scapular push-ups,1,0,0
L-sits,1,0,0
Scapular pull ups,1,0,0
Scapular Refractions Swings,1,0,0
Scapular Ausnups,1,0,1
Scapular,1,0,0
SL DB Galf Ralses,1,0,0
Shoulder Raises straight Arm,1,0,1
Shoulder Shougs,1,0,1
Shoulder Shrugs,1,0,1
Shoulder shrugs,1,0,0
Tricep Push UPS,1,0,0
Tricep Pulldown,1,0,1
Tricep Kickbacks,1,0,1
"Tri , wide , Tri , Wide , Air. reg pushups",1,0,0
Straight Arm Shoulder Raises,1,0,1
Straight Arm Raises,1,0,0
Straight Arm Lateral Raises,1,0,1
Standing Hip Dips,1,0,0
Squat w/Front Row,1,0,1
Squat,1,0,1
Slow pullups,1,0,1
Slow Descent,1,0,0
Sliders,1,0,0
Sled Pulls,1,0,1
Shoulder shrugs Trio,1,0,1
L-sits paralletes,1,0,0
Lateral Band Walks,1,0,0
L-sit pullups,1,0,0
: RB Face Pulls,1,0,1
Atudo Planche Wall Holds,1,0,0
Arone Leg Curls,1,0,1
Airwalls pullups,1,0,0
Airwalk pull ups,1,0,0
Airwalk Pullups,1,0,0
Air walk pullups,1,0,0
AB Shoulder Raise Trio,1,0,1
: Pseudo planche suldes,1,0,0
1 Scapular pushups,1,0,0
1 shoulder Shrug Trio +,1,0,1
1 Weighted Dips,1,0,1
1 Tuck Planche,1,0,0
1 Tuck Front,1,0,0
1 Shoulder Shrugs,1,0,1
1 Shoulder Shrug Trio,1,0,1
1 Seated Leg,1,0,0
BB Inverted row 900,1,0,1
BOSU SL KB,1,0,0
Back Front Lever,1,0,0
Band Pull-Aparts,1,0,0
Cable Squats,1,0,1
Cable Squat,1,0,1
Cable Split Lunges,1,0,0
Cable Lunges,1,0,1
Cable Int / Ext.,1,0,0
Cable Ext. Rotations,1,0,0
Bulgarian Split,1,0,0
Bosu Ball step ups,1,0,0
Bosu Ball SL pistol squat,1,0,1
Kneeling SA,1,0,0
Booty Boulder,1,0,1
Bird Dog Rows,1,0,0
Bicep Curls EZ Bar,1,0,1
Bicep Curls,1,0,1
Bicep Carls Alt.,1,0,0
1 Seated Hip Abductors,1,0,1
1 Scapular Pushups (Plank),1,0,1
Converging Cheat Press,1,0,1
. Elevated Ake Push ups,1,0,0
1 Bulgarians,1,0,1
1 Bulgarian Split Lunges,1,0,1
1 Bosu Ball Iso Pistol,1,0,0
1 Booty Builder .,1,0,0
1 .,1,0,0
08 Shoulder Shrugs,1,0,1
. Scared hip adductions,1,0,1
. Curls,1,0,0
1 SB Hamstring Curls,1,0,0
(plank),1,0,0
(Tricep-Wide-Dike-Tri) 100 Pushups Stretch,1,0,1
(R++ Both) = 1 rep DB Alt. Chest Press,1,0,1
(FtB ) (Stos ),1,0,1
(FIOR) (Stos),1,0,1
(F+B) (stos),1,0,1
( abs ),1,0,0
1 Cable Lunges,1,0,1
1 Crunches,1,0,1
1 Curls,1,0,1
1 DB Laying Straight Arm Raises,1,0,1
1 SA cable pull down,1,0,1
1 RB scapular pushups,1,0,0
1 Pull ups,1,0,0
1 Prone Leg Curls,1,0,0
1 Power Pull ups,1,0,0
1 Laying DB Ice cream Scoops,1,0,1
1 Lateral,1,0,0
1 Ice Cream Scoops,1,0,0
1 IL sit-to-stand,1,0,1
1 Hip Abductions,1,0,0
1 Ext/ Int. rotations,1,0,0
1 Ext. / Int. Rotations,1,0,0
1 Elevated Pike Pushups,1,0,0
1 Deadhangs + One-Arm Deadhangs,1,0,0
1 De Art. Bicep Carls,1,0,1
Calf Press,1,0,1
Bose Ball Step-ups,1,0,0
Ext / Int. Rotation:,1,0,0
Floor DB Chest,1,0,0
Hand stand Holds,1,0,1
Hamstring carls,1,0,1
Hamstring Curls,1,0,0
Front Lever Scapula pulls,1,0,0
Front DE Shoulder Paises,1,0,1
"Front , Diagonal ,",1,0,0
Foregrip Tricep,1,0,0
External / Internal,1,0,0
Handstand Pushups + elevated pike pushups,1,0,0
Extensions,1,0,1
Ext/int: rotations,1,0,0
Ext/int rotations,1,0,0
Ext./Int. rotations,1,0,1
Ext / Int. Rotations,1,0,1
Cossack Squat,1,0,1
Ext / Int.,1,0,0
Handstand Holds w / wall,1,0,1
Handstand herds,1,0,0
Ext + Int. Rotations,1,0,0
ITWs,1,0,0
KB Swings,1,0,0
KB Goblet Squats,1,0,1
Inverted Rows,1,0,1
Internal Shoulder Rotations RB,1,0,0
Int.,1,0,1
Ice Cream Scoops,1,0,0
Ice Cream,1,0,0
I SL Bosu Ball,1,0,0
Handstand pushups,1,0,0
Hollow Body Holds,1,0,0
Hip Thrust Machine,1,0,1
Hip Adductions ( machine ),1,0,1
Hip Abductions Seated,1,0,1
Hip Abductions ( machine),1,0,1
Hanstand Pushups,1,0,0
Hanstand Holds (wall ),1,0,0
Ext . / Int. Cable Rotations,1,0,1
w/ Dine Pushups,1,0,0
DE straight Am,1,0,0
DB Bicep Carls,1,0,1
DB SL Calf Raises,1,0,0
Dead hongs,1,0,0
Deadhangs + One-arm deadhangs,1,0,0
Delt Flies,1,0,1
Det Fires,1,0,1
Diff. Pullups,1,0,0
DB Shoulder Shrugs,1,0,1
DB Lateral Shoulder to Planche Walks,1,0,0
DB Goblet Squat,1,0,0
Dead hangs,1,0,0
Deadhangs,1,0,0
DB Chest Press,1,0,1
EZ Bar,1,0,0
Elevated Dike Pushups,1,0,0
Elevated Pike Pushups,1,0,0
DB (Diagonal + lateral),1,0,1
Curls,1,0,0
Curl,1,0,1
Crushers,1,0,1
Date : 8/19/25,1,0,0
DO Thumbsup Shoulder Raises,1,0,1
Deadhang,1,0,0
arow-pose,0,0,0
DB Shoulder,0,0,0
Seated Hip Adduction,0,0,1
attempt + Dike push ups Weighted Dips,0,0,1
9 /18/25,0,0,0
cable row bar,0,0,0
Raise Tiro,0,0,1
1 Booty Builder Heels to Heaven,0,0,1
Reverse Langes,0,0,1
seated Quad,0,0,0
Leg Extensions,0,0,1
Cartwheels,0,0,0
stides,0,0,0
! Handstand Push up,0,0,0
DB Laying Straight -Arm,0,0,0
Planche slides,0,0,0
Seated Hip Pushups,0,0,0
Triceps Pulldown,0,0,1
12 / 14 / 25,0,0,0
11 /25/25,0,0,0
10/ 24/25,0,0,0
10 /23/25,0,0,0
Pull ups + Pull ups Air Walk,0,0,0
Slow Handstand,0,0,0
1 Wall Pseudo Planche Holds,0,0,0
1 Wall Handstand,0,0,0
Abduction,0,0,1
Ext.,0,0,1
Adductions,0,0,1
Handstand,0,0,0
1 Seated Hip,0,0,0
Tuck Front Lever Hold,0,0,0
Ext/ Int. Rotations,0,0,1
Fires,0,0,1
Quad. Ext. pull ups,0,0,1
1 Prendo Planche Slides,0,0,0
Around the Worlds KB,0,0,1
Seated Rear Delt,0,0,0
8123/25,0,0,0
Back lever,0,0,0
SL Calf praises,0,0,1
